year,driver,team,grid_position,finish_position,strategy,num_stops,stint_num,compound,stint_start_lap,stint_end_lap,stint_length
2019,GAS,RB,10,16,S-H-S,2,1,SOFT,1,19,19
2019,GAS,RB,10,16,S-H-S,2,2,HARD,20,53,34
2019,GAS,RB,10,16,S-H-S,2,3,SOFT,54,54,1
2019,PER,Aston Martin,0,10,M-H,1,1,MEDIUM,1,24,24
2019,PER,Aston Martin,0,10,M-H,1,2,HARD,25,55,31
2019,LEC,Ferrari,4,4,M-H-S,2,1,MEDIUM,1,20,20
2019,LEC,Ferrari,4,4,M-H-S,2,2,HARD,21,42,22
2019,LEC,Ferrari,4,4,M-H-S,2,3,SOFT,43,56,14
2019,STR,Aston Martin,14,13,M-H-S,2,1,MEDIUM,1,9,9
2019,STR,Aston Martin,14,13,M-H-S,2,2,HARD,10,29,20
2019,STR,Aston Martin,14,13,M-H-S,2,3,SOFT,30,55,26
2019,MAG,Haas F1 Team,12,18,M-H-S,2,1,MEDIUM,1,18,18
2019,MAG,Haas F1 Team,12,18,M-H-S,2,2,HARD,19,40,22
2019,MAG,Haas F1 Team,12,18,M-H-S,2,3,SOFT,41,53,13
2019,ALB,Red Bull Racing,6,5,S-M-S,2,1,SOFT,1,1,1
2019,ALB,Red Bull Racing,6,5,S-M-S,2,2,MEDIUM,2,40,39
2019,ALB,Red Bull Racing,6,5,S-M-S,2,3,SOFT,41,56,16
2019,KVY,RB,13,12,H-M-S,2,1,HARD,1,21,21
2019,KVY,RB,13,12,H-M-S,2,2,MEDIUM,22,39,18
2019,KVY,RB,13,12,H-M-S,2,3,SOFT,40,55,16
2019,HUL,Alpine,11,9,H-M-S,2,1,HARD,1,27,27
2019,HUL,Alpine,11,9,H-M-S,2,2,MEDIUM,28,39,12
2019,HUL,Alpine,11,9,H-M-S,2,3,SOFT,40,55,16
2019,RIC,Alpine,9,6,S-H,1,1,SOFT,1,21,21
2019,RIC,Alpine,9,6,S-H,1,2,HARD,22,56,35
2019,VER,Red Bull Racing,3,3,M-H-M,2,1,MEDIUM,1,13,13
2019,VER,Red Bull Racing,3,3,M-H-M,2,2,HARD,14,34,21
2019,VER,Red Bull Racing,3,3,M-H-M,2,3,MEDIUM,35,56,22
2019,NOR,McLaren,8,7,S-H-M,2,1,SOFT,1,19,19
2019,NOR,McLaren,8,7,S-H-M,2,2,HARD,20,42,23
2019,NOR,McLaren,8,7,S-H-M,2,3,MEDIUM,43,56,14
2019,HAM,Mercedes,5,2,M-H,1,1,MEDIUM,1,24,24
2019,HAM,Mercedes,5,2,M-H,1,2,HARD,25,56,32
2019,SAI,McLaren,7,8,S-H,1,1,SOFT,1,18,18
2019,SAI,McLaren,7,8,S-H,1,2,HARD,19,55,37
2019,RUS,Williams,18,17,M-H-S,2,1,MEDIUM,1,23,23
2019,RUS,Williams,18,17,M-H-S,2,2,HARD,24,46,23
2019,RUS,Williams,18,17,M-H-S,2,3,SOFT,47,54,8
2019,RAI,Kick Sauber,17,11,S-H-S,2,1,SOFT,1,18,18
2019,RAI,Kick Sauber,17,11,S-H-S,2,2,HARD,19,40,22
2019,RAI,Kick Sauber,17,11,S-H-S,2,3,SOFT,41,55,15
2019,BOT,Mercedes,1,1,M-H-M,2,1,MEDIUM,1,14,14
2019,BOT,Mercedes,1,1,M-H-M,2,2,HARD,15,35,21
2019,BOT,Mercedes,1,1,M-H-M,2,3,MEDIUM,36,56,21
2019,GRO,Haas F1 Team,15,15,M-H,1,1,MEDIUM,1,24,24
2019,GRO,Haas F1 Team,15,15,M-H,1,2,HARD,25,55,31
2019,KUB,Williams,19,19,M-H,1,1,MEDIUM,1,11,11
2019,KUB,Williams,19,19,M-H,1,2,HARD,12,31,20
2019,GIO,Kick Sauber,16,14,M-H-S,2,1,MEDIUM,1,17,17
2019,GIO,Kick Sauber,16,14,M-H-S,2,2,HARD,18,39,22
2019,GIO,Kick Sauber,16,14,M-H-S,2,3,SOFT,40,55,16
2021,VER,Red Bull Racing,1,1,M-H,1,1,MEDIUM,1,10,10
2021,VER,Red Bull Racing,1,1,M-H,1,2,HARD,11,56,46
2021,HAM,Mercedes,2,2,M-H,1,1,MEDIUM,1,13,13
2021,HAM,Mercedes,2,2,M-H,1,2,HARD,14,56,43
2021,PER,Red Bull Racing,3,3,M-H,1,1,MEDIUM,1,30,30
2021,PER,Red Bull Racing,3,3,M-H,1,2,HARD,31,56,26
2021,LEC,Ferrari,4,4,M-H,1,1,MEDIUM,1,12,12
2021,LEC,Ferrari,4,4,M-H,1,2,HARD,13,56,44
2021,RIC,McLaren,6,5,M-H,1,1,MEDIUM,1,11,11
2021,RIC,McLaren,6,5,M-H,1,2,HARD,12,56,45
2021,BOT,Mercedes,9,6,M-H,1,1,MEDIUM,1,15,15
2021,BOT,Mercedes,9,6,M-H,1,2,HARD,16,56,41
2021,SAI,Ferrari,5,7,S-H,1,1,SOFT,1,11,11
2021,SAI,Ferrari,5,7,S-H,1,2,HARD,12,56,45
2021,NOR,McLaren,7,8,M-H,1,1,MEDIUM,1,10,10
2021,NOR,McLaren,7,8,M-H,1,2,HARD,11,56,46
2021,TSU,RB,10,9,S-H,1,1,SOFT,1,9,9
2021,TSU,RB,10,9,S-H,1,2,HARD,10,55,46
2021,VET,Aston Martin,18,10,M-H,1,1,MEDIUM,1,38,38
2021,VET,Aston Martin,18,10,M-H,1,2,HARD,39,55,17
2021,GIO,Kick Sauber,12,11,M-H,1,1,MEDIUM,1,26,26
2021,GIO,Kick Sauber,12,11,M-H,1,2,HARD,27,55,29
2021,STR,Aston Martin,13,12,M-H,1,1,MEDIUM,1,34,34
2021,STR,Aston Martin,13,12,M-H,1,2,HARD,35,55,21
2021,RAI,Kick Sauber,15,13,M-H,1,1,MEDIUM,1,31,31
2021,RAI,Kick Sauber,15,13,M-H,1,2,HARD,32,55,24
2021,RUS,Williams,20,14,M-H,1,1,MEDIUM,1,9,9
2021,RUS,Williams,20,14,M-H,1,2,HARD,10,55,46
2021,LAT,Williams,14,15,M-H,1,1,MEDIUM,1,5,5
2021,LAT,Williams,14,15,M-H,1,2,HARD,6,55,50
2021,MSC,Haas F1 Team,16,16,M-H-M,2,1,MEDIUM,1,11,11
